PERMNO,date,COMNAM,PRC,VOL,RET,SHROUT,sprtrn
10107,20070103,MICROSOFT CORP,29.86000,77630458,0.000000,9777000,-0.001199
10107,20070104,MICROSOFT CORP,29.81000,46650955,-0.001675,9777000,0.001228
10107,20070105,MICROSOFT CORP,29.64000,44681937,-0.005703,9777000,-0.006085
10107,20070108,MICROSOFT CORP,29.93000,52021978,0.009784,9777000,0.002220
10107,20070109,MICROSOFT CORP,29.96000,44708046,0.001002,9777000,-0.000517
10107,20070110,MICROSOFT CORP,29.66000,56867092,-0.010013,9777000,0.001940
10107,20070111,MICROSOFT CORP,30.70000,99520582,0.035064,9777000,0.006340
10107,20070112,MICROSOFT CORP,31.21000,104312728,0.016612,9777000,0.004853
10107,20070116,MICROSOFT CORP,31.16000,62442064,-0.001602,9777000,0.000818
10107,20070117,MICROSOFT CORP,31.10000,60649602,-0.001926,9777000,-0.000894
10107,20070118,MICROSOFT CORP,31.00000,56383521,-0.003215,9777000,-0.002971
10107,20070119,MICROSOFT CORP,31.11000,76213519,0.003548,9777000,0.002895
10107,20070122,MICROSOFT CORP,30.72000,56278458,-0.012536,9792314,-0.005278
10107,20070123,MICROSOFT CORP,30.74000,49460050,0.000651,9792314,0.003542
10107,20070124,MICROSOFT CORP,31.09000,58558947,0.011386,9792314,0.008501
10107,20070125,MICROSOFT CORP,30.45000,99445532,-0.020585,9792314,-0.011270
10107,20070126,MICROSOFT CORP,30.60000,96140717,0.004926,9792314,-0.001208
10107,20070129,MICROSOFT CORP,30.53000,57758185,-0.002288,9792314,-0.001097
10107,20070130,MICROSOFT CORP,30.48000,65308929,-0.001638,9792314,0.005772
10107,20070131,MICROSOFT CORP,30.86000,74016311,0.012467,9792314,0.006593
10107,20070201,MICROSOFT CORP,30.56000,55367062,-0.009721,9792314,0.005354
10107,20070202,MICROSOFT CORP,30.19000,60643766,-0.012107,9792314,0.001694
10107,20070205,MICROSOFT CORP,29.61000,101583497,-0.019212,9792314,-0.000967
10107,20070206,MICROSOFT CORP,29.51000,79323602,-0.003377,9792314,0.000698
