PERMNO,date,TICKER,asset,PRC,VOL,RET,sprtrn
11308,31JAN2011,KO,COCA COLA,62.85000,1834220,-0.044397,0.022646
11308,28FEB2011,KO,COCA COLA,63.92000,1575611,0.017025,0.031957
11308,31MAR2011,KO,COCA COLA,66.34000,2158086,0.045213,-0.001047
11308,29APR2011,KO,COCA COLA,67.46000,1519102,0.016883,0.028495
11308,31MAY2011,KO,COCA COLA,66.81000,1393964,-0.009635,-0.013501
11308,30JUN2011,KO,COCA COLA,67.29000,1746400,0.014219,-0.018258
11308,29JUL2011,KO,COCA COLA,68.01000,1627456,0.010700,-0.021474
11308,31AUG2011,KO,COCA COLA,70.45000,3239729,0.035877,-0.056791
11308,30SEP2011,KO,COCA COLA,67.56000,2586360,-0.034351,-0.071762
11308,31OCT2011,KO,COCA COLA,68.32000,2032613,0.011249,0.107723
11308,30NOV2011,KO,COCA COLA,67.23000,1692888,-0.009075,-0.005059
11308,30DEC2011,KO,COCA COLA,69.97000,1547905,0.040756,0.008533
11308,31JAN2012,KO,COCA COLA,67.53000,1501279,-0.034872,0.043583
11308,29FEB2012,KO,COCA COLA,69.86000,1438442,0.034503,0.040589
11308,30MAR2012,KO,COCA COLA,74.01000,2051340,0.066705,0.031332
11308,30APR2012,KO,COCA COLA,76.32000,1457303,0.031212,-0.007497
11308,31MAY2012,KO,COCA COLA,74.73000,1677241,-0.020833,-0.062651
11308,29JUN2012,KO,COCA COLA,78.19000,1398036,0.053125,0.039555
11308,31JUL2012,KO,COCA COLA,80.80000,1445246,0.033380,0.012598
11308,31AUG2012,KO,COCA COLA,37.40000,2384491,-0.074257,0.019763
11308,28SEP2012,KO,COCA COLA,37.93000,4696192,0.020989,0.024236
11308,31OCT2012,KO,COCA COLA,37.18000,2938444,-0.019773,-0.019789
11308,30NOV2012,KO,COCA COLA,37.92000,2614656,0.026762,0.002847
11308,31DEC2012,KO,COCA COLA,36.25000,2696596,-0.044040,0.007068
11308,31JAN2013,KO,COCA COLA,37.24000,3027909,0.027310,0.050428
11308,28FEB2013,KO,COCA COLA,38.72000,3249849,0.039742,0.011061
11308,28MAR2013,KO,COCA COLA,40.44000,2884872,0.051653,0.035988
11308,30APR2013,KO,COCA COLA,42.33000,3178598,0.046736,0.018086
11308,31MAY2013,KO,COCA COLA,39.99000,2882724,-0.055280,0.020763
11308,28JUN2013,KO,COCA COLA,40.11000,3058447,0.010002,-0.014999
11308,31JUL2013,KO,COCA COLA,40.08000,2609599,-0.000748,0.049462
11308,30AUG2013,KO,COCA COLA,38.18000,2968333,-0.047405,-0.031298
11308,30SEP2013,KO,COCA COLA,37.88000,3011107,-0.000524,0.029749
11308,31OCT2013,KO,COCA COLA,39.57000,3790137,0.044615,0.044596
11308,29NOV2013,KO,COCA COLA,40.19000,2679675,0.022744,0.028049
11308,31DEC2013,KO,COCA COLA,41.31000,3011754,0.027868,0.023563
11308,31JAN2014,KO,COCA COLA,37.82000,2896947,-0.084483,-0.035583
11308,28FEB2014,KO,COCA COLA,38.20000,3857872,0.010048,0.043117
11308,31MAR2014,KO,COCA COLA,38.66000,3492962,0.020026,0.006932
11308,30APR2014,KO,COCA COLA,40.79000,3827432,0.055096,0.006201
11308,30MAY2014,KO,COCA COLA,40.91000,2136387,0.002942,0.021030
11308,30JUN2014,KO,COCA COLA,42.36000,2819811,0.042899,0.019058
11308,31JUL2014,KO,COCA COLA,39.29000,2829462,-0.072474,-0.015080
11308,29AUG2014,KO,COCA COLA,41.72000,2478963,0.061848,0.037655
11308,30SEP2014,KO,COCA COLA,42.66000,3148783,0.029842,-0.015514
11308,31OCT2014,KO,COCA COLA,41.88000,5298885,-0.018284,0.023201
11308,28NOV2014,KO,COCA COLA,44.83000,2541154,0.077722,0.024534
11308,31DEC2014,KO,COCA COLA,42.22000,3268899,-0.058220,-0.004189
11308,30JAN2015,KO,COCA COLA,41.17000,2930922,-0.024870,-0.031041
11308,27FEB2015,KO,COCA COLA,43.30000,2916478,0.051737,0.054893
11308,31MAR2015,KO,COCA COLA,40.55000,3707384,-0.055889,-0.017396
11308,30APR2015,KO,COCA COLA,40.56000,2840201,0.000247,0.008521
11308,29MAY2015,KO,COCA COLA,40.96000,2305929,0.009862,0.010491
11308,30JUN2015,KO,COCA COLA,39.23000,2882903,-0.034180,-0.021012
11308,31JUL2015,KO,COCA COLA,41.08000,2681002,0.047158,0.019742
11308,31AUG2015,KO,COCA COLA,39.32000,3430777,-0.042843,-0.062581
11308,30SEP2015,KO,COCA COLA,40.12000,3472840,0.028739,-0.026443
11308,30OCT2015,KO,COCA COLA,42.35000,3665655,0.055583,0.082983
11308,30NOV2015,KO,COCA COLA,42.62000,2521289,0.014168,0.000505
11308,31DEC2015,KO,COCA COLA,42.96000,2866725,0.007977,-0.017530
14593,31JAN2011,AAPL,APPLE,339.32001,4017673,0.051959,0.022646
14593,28FEB2011,AAPL,APPLE,353.20999,3459849,0.040935,0.031957
14593,31MAR2011,AAPL,APPLE,348.50751,4253054,-0.013314,-0.001047
14593,29APR2011,AAPL,APPLE,350.13000,3437440,0.004656,0.028495
14593,31MAY2011,AAPL,APPLE,347.82999,2580262,-0.006569,-0.013501
14593,30JUN2011,AAPL,APPLE,335.67001,3449685,-0.034960,-0.018258
14593,29JUL2011,AAPL,APPLE,390.48001,3929412,0.163285,-0.021474
14593,31AUG2011,AAPL,APPLE,384.82999,5981498,-0.014469,-0.056791
14593,30SEP2011,AAPL,APPLE,381.32001,4428460,-0.009121,-0.071762
14593,31OCT2011,AAPL,APPLE,404.78000,4844030,0.061523,0.107723
14593,30NOV2011,AAPL,APPLE,382.20001,3300869,-0.055783,-0.005059
14593,30DEC2011,AAPL,APPLE,405.00000,2327054,0.059655,0.008533
14593,31JAN2012,AAPL,APPLE,456.48001,2529489,0.127111,0.043583
14593,29FEB2012,AAPL,APPLE,542.44000,4208016,0.188311,0.040589
14593,30MAR2012,AAPL,APPLE,599.54999,5751713,0.105284,0.031332
14593,30APR2012,AAPL,APPLE,583.97998,5815315,-0.025969,-0.007497
14593,31MAY2012,AAPL,APPLE,577.72998,4145678,-0.010702,-0.062651
14593,29JUN2012,AAPL,APPLE,584.00000,2927706,0.010853,0.039555
14593,31JUL2012,AAPL,APPLE,610.76001,3336045,0.045822,0.012598
14593,31AUG2012,AAPL,APPLE,665.23999,3104998,0.093539,0.019763
14593,28SEP2012,AAPL,APPLE,667.10498,3438905,0.002803,0.024236
14593,31OCT2012,AAPL,APPLE,595.32001,4539999,-0.107607,-0.019789
14593,30NOV2012,AAPL,APPLE,585.28003,4629601,-0.012413,0.002847
14593,31DEC2012,AAPL,APPLE,532.17291,4472556,-0.090738,0.007068
14593,31JAN2013,AAPL,APPLE,455.48999,4864029,-0.144094,0.050428
14593,28FEB2013,AAPL,APPLE,441.39999,3474204,-0.025116,0.011061
14593,28MAR2013,AAPL,APPLE,442.66000,3418252,0.002855,0.035988
14593,30APR2013,AAPL,APPLE,442.78000,4103155,0.000271,0.018086
14593,31MAY2013,AAPL,APPLE,449.73499,3507527,0.022596,0.020763
14593,28JUN2013,AAPL,APPLE,396.53000,2611351,-0.118303,-0.014999
14593,31JUL2013,AAPL,APPLE,452.53000,2431461,0.141225,0.049462
14593,30AUG2013,AAPL,APPLE,487.21600,2997612,0.083389,-0.031298
14593,30SEP2013,AAPL,APPLE,476.75000,3214144,-0.021481,0.029749
14593,31OCT2013,AAPL,APPLE,522.70203,2948696,0.096386,0.044596
14593,29NOV2013,AAPL,APPLE,556.07001,1952387,0.069673,0.028049
14593,31DEC2013,AAPL,APPLE,561.02002,2547642,0.008902,0.023563
14593,31JAN2014,AAPL,APPLE,500.60001,3188098,-0.107697,-0.035583
14593,28FEB2014,AAPL,APPLE,526.23999,2111318,0.057311,0.043117
14593,31MAR2014,AAPL,APPLE,536.73999,1794860,0.019953,0.006932
14593,30APR2014,AAPL,APPLE,590.09003,2299269,0.099396,0.006201
14593,30MAY2014,AAPL,APPLE,633.00000,2051679,0.078293,0.021030
14593,30JUN2014,AAPL,APPLE,92.93000,8535462,0.027662,0.019058
14593,31JUL2014,AAPL,APPLE,95.60000,10375564,0.028731,-0.015080
14593,29AUG2014,AAPL,APPLE,102.50000,9380685,0.077092,0.037655
14593,30SEP2014,AAPL,APPLE,100.75000,15283673,-0.017073,-0.015514
14593,31OCT2014,AAPL,APPLE,108.00000,13609713,0.071960,0.023201
14593,28NOV2014,AAPL,APPLE,118.93000,8213451,0.105556,0.024534
14593,31DEC2014,AAPL,APPLE,110.38000,10766123,-0.071891,-0.004189
14593,30JAN2015,AAPL,APPLE,117.16000,13062738,0.061424,-0.031041
14593,27FEB2015,AAPL,APPLE,128.46001,11373392,0.100461,0.054893
14593,31MAR2015,AAPL,APPLE,124.43000,11389236,-0.031372,-0.017396
14593,30APR2015,AAPL,APPLE,125.15000,9962108,0.005786,0.008521
14593,29MAY2015,AAPL,APPLE,130.28000,9552599,0.045146,0.010491
14593,30JUN2015,AAPL,APPLE,125.42500,8789027,-0.037266,-0.021012
14593,31JUL2015,AAPL,APPLE,121.30000,10600330,-0.032888,0.019742
14593,31AUG2015,AAPL,APPLE,112.76000,16079713,-0.066117,-0.062581
14593,30SEP2015,AAPL,APPLE,110.30000,12091001,-0.021816,-0.026443
14593,30OCT2015,AAPL,APPLE,119.50000,11147142,0.083409,0.082983
14593,30NOV2015,AAPL,APPLE,118.30000,7517860,-0.005690,0.000505
14593,31DEC2015,AAPL,APPLE,105.26000,9237703,-0.110228,-0.017530
92602,31JAN2011,PM,PHILIP MORRIS,57.24000,1426996,-0.022040,0.022646
92602,28FEB2011,PM,PHILIP MORRIS,62.78000,1126880,0.096785,0.031957
92602,31MAR2011,PM,PHILIP MORRIS,65.63000,1771571,0.055591,-0.001047
92602,29APR2011,PM,PHILIP MORRIS,69.44000,1195162,0.058053,0.028495
92602,31MAY2011,PM,PHILIP MORRIS,71.75000,1324261,0.033266,-0.013501
